sample_id,year,special,channel,coder,coder_id,news_unanimous,news_majority,news_coded,geography_unanimous,geography_majority,geography_coded
662312,1968,FALSE,ABC,1,45126470,hard,hard,hard,international,international,international
662312,1968,FALSE,ABC,2,45686132,hard,hard,hard,international,international,international
662312,1968,FALSE,ABC,3,45689555,hard,hard,hard,international,international,international
134,1968,TRUE,NBC,1,45126470,hard,hard,hard,national,national,national
134,1968,TRUE,NBC,2,45544038,hard,hard,hard,national,national,national
134,1968,TRUE,NBC,3,45526263,hard,hard,hard,national,national,national
661155,1968,FALSE,ABC,1,45348963,hard,hard,hard,national,national,national
661155,1968,FALSE,ABC,2,44975113,hard,hard,hard,national,national,national
661155,1968,FALSE,ABC,3,45598929,hard,hard,hard,national,national,national
661388,1968,FALSE,CBS,1,45348963,hard,hard,hard,NA,international,national
661388,1968,FALSE,CBS,2,45180724,hard,hard,hard,NA,international,international
661388,1968,FALSE,CBS,3,44944563,hard,hard,hard,NA,international,international
662270,1968,FALSE,NBC,1,45126470,hard,hard,hard,NA,national,national
662270,1968,FALSE,NBC,2,45686132,hard,hard,hard,NA,national,national
662270,1968,FALSE,NBC,3,45278443,hard,hard,hard,NA,national,international
18358,1968,FALSE,ABC,1,45348963,hard,hard,hard,NA,national,national
18358,1968,FALSE,ABC,2,44975113,hard,hard,hard,NA,national,national
18358,1968,FALSE,ABC,3,45204515,hard,hard,hard,NA,national,local
513509,1968,FALSE,ABC,1,45348963,hard,hard,hard,national,national,national
513509,1968,FALSE,ABC,2,45544038,hard,hard,hard,national,national,national
513509,1968,FALSE,ABC,3,45567834,hard,hard,hard,national,national,national
86,1968,TRUE,CBS,1,43879440,hard,hard,hard,national,national,national
86,1968,TRUE,CBS,2,36985538,hard,hard,hard,national,national,national
86,1968,TRUE,CBS,3,33256761,hard,hard,hard,national,national,national
110,1968,TRUE,CBS,1,45348963,hard,hard,hard,national,national,national
110,1968,TRUE,CBS,2,45180724,hard,hard,hard,national,national,national
110,1968,TRUE,CBS,3,44944563,hard,hard,hard,national,national,national
661145,1968,FALSE,CBS,1,45126470,hard,hard,hard,national,national,national
661145,1968,FALSE,CBS,2,45544038,hard,hard,hard,national,national,national
661145,1968,FALSE,CBS,3,45298997,hard,hard,hard,national,national,national
