broadcast_abstract,hard_news_gold,geography_gold,sample_id,length,n,time,year
"Report on Vice Presidential candidate, General Curtis LeMay.REPORTER: Walter Cronkite(No Location Given) Film of LeMay in 1957 shown. He was Air Force Chief of Staff and head of SAC. No hoopla at LeMay political stops. LeMay holds press confs. and talks at small groups.REPORTER: Ike Pappas(NYC) LeMay is quiet and impassive.REPORTER: Ike Pappas(No Location Given) LeMay blunt. [LEMAY - says in favor of birth control and legalized abortion. Integration holds key to solving racial problems. See it work in Air Force. Nuclear weapon just another weapon to military man.]REPORTER: Ike Pappas(Vietnam) LeMay visits Vietnam. Returned and said nuclear weapons shouldn't be used in Vietnam.REPORTER: Ike Pappas(No Location Given) [Spiro AGNEW - says 3rd party bristles in defiance of good judgment. Single careless gesture could turn world into cinder.]REPORTER: Ike Pappas(Columbus, Ohio) [LEMAY - says tactic of scaring American public used against him.]: LeMay seen as way for Wallace to broaden appeal to upper middle class. He wants to stop American from further drift to left. LeMay is sincere.REPORTER: Ike Pappas",hard_news,national,643545,1115,4561,350,1968
"CNN replay and analysis of Iraq President Saddam Hussein speech taped for broadcast in the US; analysis includes excerpts of interviews with Middle East expert Shireen Hunter and former Assistant Secretary of State Richard Murphy, and taped segments with Mark Leff (CNN), Ralph Begleiter (CNN), Cuba Ambassador to the UN Ricardo Alarcon de Quesado, Secretary of State James Baker, Iraq Ambassador to the UN Abdul Amir Al-Anbari, and unidentified others; see the 9/25/90 record for """"""""Crisis in the Gulf"""""""" for an edited version of this event.",hard_news,international,386911,540,11836,5280,1990
"(Studio: Charles Gibson) The deep freeze across the nation introduced.(Chicago: Barbara Pinto) The cold weather in the Plains and Midwest featured; scenes shown of a fire in Lawrence, Massachusetts and various snow and cold scenes. [Chicago WOMAN, Ohio MAN, upstate NEW YORKER, Lawrence fire department Chief Peter TAKVORIAN, Cleveland heating repairman John LANGER- react to the weather.] Weather map shown.(Studio: Charles Gibson) Weather-related headlines following yesterday's pro football games in Green Bay and New England shown.",soft_news,national,144217,537,12785,140,2008
(Studio: Katherine Couric) .(Denver: Roger O'Neil) Cooperation between the University of North Dakota and Taiwan's China Airlines in running North Dakota's Great Lakes Airlines featured; details given. [Jamestown Chamber of Commerce Eileen MONSON - talks about number of flights per day.] [University of North Dakota dean John ODEGARD - comments on desired air travel.] [Co-pilot Eric CHANG - comments on the arrangement.] [Insurance executive Beth HITE - talks about travel time saved.],hard_news,local,368617,487,12726,140,1992
"Terrorist car bombing of United States embassy annex in eastern Beirut, Lebanon, reported; known death and injury toll so far mentioned. Army chief warrant ofr. Ken. Welch mentioned among casualties.REPORTER: Peter Jennings(Beirut, Lebanon) Details of bombing examined; films shown. [MARINE - encourages wounded Staff sergeant Jimmy Brown.] [Embassy ofr. David describes bomb car.] Corporal Larry Gill's effort to halt car described; ambassador Reginald Bartholomew and British ambassador David Miers said wounded. [WINN - describes ambs.' injuries.] April 1983 bombing of United States embassy and bombing of Marine headquarters last October recalled; inadequate security precautions since relocating embassy to Christian sector discussed. Islamic Jihad's terrorist threats in past and org.'s claim of responsibility for today's blast mentioned.REPORTER: Charles Glass(DC) State Department's claim that all embassies in region were on security alert and should have been anticipating trouble discussed; apparent circumstances surrounding today's attack detailed, illustrated on screen. [State Department spokesperson John HUGHES - notes troops' assault on bomb car, stopping it short of embassy.] Current status of security at embassy considered. [Special envoy to Lebanon L. Dean BROWN - thinks security has been improvised due to scope of task.] [HUGHES - cites fact that embassy isn't military compound.] [Defense Secretary Caspar WEINBERGER - doesn't believe United States should withdraw from Lebanon.] President Reagan's promise of retribution mentioned.REPORTER: John McWethy",hard_news,international,459367,1583,12325,330,1984
"(Studio: Brian Williams) Senator Hillary Clinton’s declaration that she is not seeking the vice presidency noted.(Washington: Andrea Mitchell) The race between Senators Barack Obama and John McCain with both candidates trying to win Clinton’s supporters featured; “Time” magazine photo shown of Clinton and Obama. [OBAMA, McCAIN – praise Clinton.] [Representative Charles RANGEL- comments on Clinton’s departure.] [OBAMA – speaks against lobbyists.](Studio: Brian Williams) .(Atlanta: Ron Mott) The reaction of African Americans to Obama’s victory examined; scenes shown of Obama meting 95-year-old Charles Edwards in Bristol, Virginia. [Edwards’ DAUGHTER – speaks for her dad.] [Spelman College professor Jeanne MEADOWS, Morehouse College political science chair Gregory HALL,, students Terrance WOODBURY, Chad MANCE, Representative John LEWIS&NBSP- offer views.]",hard_news,national,152619,870,12785,240,2008
"(Studio: Diane Sawyer) .(Orlando: Matt Gutman) The foiling of a campus shooting attack at the University of Central Florida by student James Seevakumaran examined; scenes shown from campus; details given about the weaponry and explosive devices found. [In interview, roommate Arabo BABAKHANI&nbsp- talks about the roommate pulling a gun.] [College police Chief Richard BEARY- comments on a checklist he had; shows gun magazines found in the mailroom.] The lack of a motive noted.",hard_news,local,62501,482,13459,130,2013
(Studio: Giselle Fernandez) Scientists' report that levels of ozone-eating chemicals from the earth's atmosphere are slowly decreasing due to international cooperation outlined.,hard_news,international,344203,177,12598,86370,1995
"The first of two broadcasts of taped excerpts of an interview by Sean Hannity (Fox News) with President George W. Bush.Analysis includes the particpation of former Clinton advisor Dick Morris, Republican strategist Angela McGlowan, and Democratic strategist Mary Anne Marsh.NOTE: The second half of this interview was broadcast on 10/31/2006.",hard_news,national,163486,342,22047,3600,2006
"(Studio: Bernard Shaw)(Discussion with Herman Nickel, Former United States Ambassador to South Africa & Kingsley Makhubela, Deputy Representative of ANC Mission to U.N.) People opposed to Nelson Mandela and African National Congress in other homelands; Foreign Minister of S. Africa asked the United Nations to send an envoy to put down violence and break impasse; Prediction of negotiations timespan to happen within a year; Government is taking no steps to curtail violence; Continued violence depends on ability of South Africa government to address issue efficiently; Need to see implementation of previously agreements.",hard_news,international,378541,624,12726,510,1992
"The following file names represent presidential campaign events recorded on this date, which can be ordered individually by calling the Vanderbilt Television News Archive (615-322-2927):20160711CNN-1237Trump20160711FBN-1247Trump20160711FBN-1301Trump20160711FNC-1146Trump20160711MSNBC-1232Trump20160711MSNBC-2100Jeb",not_clear,not_clear,42774,314,6787,57600,2016
"Results and analysis of Super Tuesday primaries. Interviews with Michael Dukakis, Jesse Jackson, Albert Gore, Pat Robertson, Bill Brock, Richard Gephardt, Andrew Young, Robert Strauss and Charles Robb.WKRN coverage of speech by Albert Gore.",hard_news,national,424675,240,11620,7740,1988
"Unemployment up in October by 0.3% bringing overall figure to 8.6%. 8 million look for jobs; 85.4 million have them.REPORTER: John Chancellor(Cleveland, Ohio) Lee Banks unemployed for 10 mos. [BANKS - describes frustration of job seeking.] He sold shoes for 18 years until laid off. [Store OWNER - says laid Banks off because business slow.] He gets $68 week unemployment but only has 3 weeks left. His wife works for dry cleaning co. and makes $25 day. Banks eats bologna and drinks Kool-Aid for dinner. [BANKS - says must be break somewhere.]REPORTER: Scott Osborne",hard_news,national,572714,567,12948,140,1975
"(Studio: Judy Woodruff) President Clinton's speech at the University of Texas about race in America excerpted. [CLINTON - talks about the million man march in Washington, DC, and the future for America.] The response of Nation of Islam leader Louis Farrakhan to what Clinton said about him noted.",hard_news,national,342763,296,12598,86390,1995
"(Studio: Brian Williams) The conclusion of the defense in the penalty phrase of the trial of Terry Nichols for his role in the Oklahoma City, Oklahoma, bombing; the beginning of the IRS (Internal Revenue Service) mass mailing of income tax forms; the vacation for President and Hillary Clinton reported; scenes shown of the president swimming with Buddy, the dog.","hard_news
not_clear",national,300049,363,14802,85830,1998
"(Studio: Judy Woodruff) British news report on the different views on Princess Diana's funeral that were held by Queen Elizabeth and Prince Charles reviewed; scenes shown from the funeral service on Saturday; photos shown of brother Charles Spencer at Diana's burial site.(London: Margaret Lowrie) The changing mood toward Britain's royal family examined; various scenes shown from London, where the people continue to mourn. [Three BRITONS - say the monarchy must change.] [Lord ST. JOHN of FAWSLEY - says the monarchy must simplify its style.] [Royal writer Barbara AMIEL - defends the traditional monarchy.]",soft_news,international,293266,610,16302,220,1997
"Live forum with Peter Jennings (ABC), Bosnian teenager Djana Kazic, NATO Force Commander Admiral Leighton Smith, Civilian Affairs Officer First Lieutenant Joel Krauss, Master Sergeant Max Biela, Robert Krulwich (ABC), Sarajevo teenager Melisa Tolja, and others re: the history of the Bosnia-Herzegovina civil war, and the deployment of US troops there to establish new borders agreed to by negotiators of the civil war peace agreeement.Taped segments with Anderson Cooper (ABC), Jennings, and Krulwich.",hard_news,international,332163,502,16587,3480,1996
"(Studio: Forrest Sawyer) .(Studio: Ray Gandolf) Highlights shown from world record-breaking pole vault by Sergei Bubka, tennis victories by Jennifer Capriati over Conchita Martinez, by Petr Korda over Ivan Lendl and by Pam Shriver and Andre Agassi in Arthur Ashe's charity exhibition fund-raiser for AIDS. Veteran tennis player Brad Gilbert profiled; match and practice scenes shown. [GILBERT - describes his approach to tennis.]",soft_news,"international
not_clear",367264,429,12726,250,1992
"(Studio: Bob Schieffer) USSR foreign minister Eduard Shevardnadze's assessment of Iceland summit's importance, made during Mexico trip, quoted.(Mexico City, Mexico: Mike O'Connor) Mexico's incrd. contact with USSR noted illustrated by atmosphere of Shevardnadze's visit here; scenes shown. Mikhail Gorbachev mentioned scheduled to visit soon; increase tension in United States-Mexico relations noted. [Pol. scientist Adolfo AGUILAR ZINSER - cites cntry.'s effort to display its independence.]",hard_news,international,450889,492,11976,90,1986
"(Washington: Brian Williams) Earlier interviews with presidential candidates Senators John McCain and Barack Obama about the economic bailout plan presented. [McCAIN – comments on his decision to suspend his campaign; says if we restore our economy and cut out-of-control spending we’ll be okay; states he knows how to rein in the government and spending; says he is hopeful that he’ll be at the debate; notes Obama has not accepted his request to engage in 10 town hall meetings.] Technical difficulties with Obama’s interview acknowledged.(Washington: Brian Williams; Oxford, Mississippi: Chuck Todd) Governor Sarah Palin’s interview with CBS’s Katie Couric discussed. [In interview, PALIN – explains how Alaska’s proximity to Russia and Canada enhances her foreign policy experience.] Palin’s tough week and the belief that the Republicans have kept her too sheltered noted.(Washington: Brian Williams) Today’s conversation with Obama presented. [OBAMA – says it’s amazing how much can get done when folks aren’t worried about taking the credit; outlines the 4 principles he wants in the bailout bill; comments on the relationship of the economy to foreign affairs; says a president has to be able to do more than one thing at a time and he hopes McCain shows up at the debate.]",hard_news,national,114038,1281,12785,580,2008
"(Studio: David Muir) The health status of Thomas Duncan, the first Ebola patient in the US, updated; scenes shown of the American photographer with Ebola arriving at the Nebraska hospital.(Dallas: Cecilia Vega) The treatment of Duncan at the Dallas hospital with an experimental drug & the monitoring of those in close contact with him examined; scenes shown of Ashoka Mukpo arriving in Nebraska. [Texas dept. of state health services Dr. David LAKEY@- comments on the case.] [Texas Governor Rick PERRY@- says we do not have an outbreak: one event.] [Father Dr. Mitchell LEVY@- talks about Ashoka's appearance.](Studio: David Muir, Richard Besser) What President Obama said about airport screening for Ebola, how the reporter was flagged at the airport, procedures being taken discussed.",hard_news,national,52570,787,11693,240,2014
