broadcast_abstract,year,id,time,length,n
"(Studio: Judy Woodruff) Announcement that Patrick Sullivan, the only US priest in Cuba, is leaving reported.",1998,296707,86370,108,14143
"(Studio: Bernard Shaw) .(Obranca, Yugoslavia: Nic Robertson) The latest round of fighting in the Yugoslavian province of Kosovo featured; scenes shown from a funeral for a Kosovo Liberation Army fighter. The Albanians' fear of massacres despite a sometimes cease-fire noted. [Kosovo verification mission deputy head ambassador Gabriel KELLER - comments on the situation.]",1998,301411,86390,371,14143
"(Studio: Aaron Brown) .(Alexandria, Virginia: Bob Woodruff) The introduction of the Apple iMac computer featured; scenes shown of the strange looking computer. [Computer analyst Michael KANELLOS - comments.] The return of Apple founder Steve Jobs to the company last summer recalled. [Apple CEO JOBS - calls it a strong product.]",1998,303940,120,329,14143
"(Studio: Dan Rather) The issue of insurance coverage of the anti-impotence Viagra pill noted.(New York: Elizabeth Kaledin) Women's interest in Viagra examined. [Loyola University Medical Center Dr. John MULHALL, Robin LYLES, University of Maryland Medical Center Dr. Jennifer BERMAN, Male Clinic director Dr. Harim PADMA-NATHAN - talk about the use of Viagra by women with sexual problems.] The implications of Viagra's success for treating sexual dysfunction noted.(Studio: Dan Rather) The effort by New York state to regulate infertility treatment noted. [Medical consultant Dr. Bernadine HEALY - outlines what the state said about the need to restrict infertility services; says the medical profession must take action on fertility issues.]",1998,289137,250,743,14143
"(Studio: Bernard Shaw) Today's National Spelling Bee reported; scenes shown of the winning contestant spelling the last word. [Jamaican-born Jody-Anne MAXWELL - spells """"chiaroscurist.""""](Washington: Kyoko Altman) Blind speller Jessica Barr profiled; scenes shown to illustrate how she studies for the contest. [BARR - talks about her abilities.] [Mother Marilyn BARR - talks about her daughter.]",1998,289940,83350,396,14143
(Studio: Hilary Bowker) The impact of a series of storms on Britain reported; scenes shown of damages in England.,1998,299195,30,113,14143
"(Studio: Judy Woodruff) Rainy weather along the East and Golf coasts reported; scenes shown of wet Boston, flooding in Indianapolis, IN.",1998,296601,83200,136,14143
"(Studio: John Roberts) The push by Russia, China and France in the United Nations to ease sanctions against Iraq reported.(Pentagon: David Martin) The United States air strikes against Iraq reviewed. [On the USS Enterprise, Secretary of Defense William COHEN - talks to the troops.] [US Navy Lieutenant Kendra WILLIAMS - comments on her bombing run.] [National Security Adviser Samuel BERGER - comments on disarmament by force.] The United States need to rebuild the anti-Iraqi President Saddam Hussein coalition in the United Nations noted.",1998,302637,120,541,14143
"(Studio: Charles Gibson) The revival of America's game of baseball reviewed; scenes shown of the home run hitters, Mark McGwire, Ken Griffey and Sammy Sosa, pursuing the season record of 61. [Sports columnist Tom BOSWELL - talks about the game, the ball parks and the fans.](New York: Jon Frankel) The physics of the home run featured; batting swing shown. [Yale University professor Robert ADAIR - lectures on the speed and force of the baseball as it is hit.]",1998,299898,360,461,14143
"(Studio: Dan Rather) .(Dallas: Bob McNamara) The latest research on the world-famous Martian meteor, unearthed 18 months ago in the Antarctic, featured; details given of researchers' discovery that the rock is actually from earth, not Mars. [*Scripps Institution of Oceanography Jeff BADA, NASA (National Aeronautics and Space Administration) spokesman David McKAY - comment on the pedigree of the rock.]",1998,296345,85980,404,14143
"(Studio: Judy Woodruff) .(Brits, South Africa: Mike Hanna) Judge's decision allowing South Africa's wild elephants be removed from a state farm featured; scenes shown of the elephants; details given of the overall problem of elephant overpopulation, which is threatening the ecosystems.",1998,306602,140,286,14143
"(Studio: Harry Smith) .(Kansas City, Kansas: Bob McNamara) Neglect of the World War I Liberty Memorial in Kansas City featured; proposal to restore memorial reported; scenes shown in Kansas City of the Liberty Memorial and the exhibits within, and of World War I-era historical footage. [Liberty Memorial War Museum director Doran CART - praises the museum and laments neglect of memorial.] [Charles WALDRON - remembers dedication ceremony.] [World War I veteran Elmer RASH - remembers World War I.] [Veteran Jerry RUTHERFORD - recognizes sacrifice of all veterans; says the Memorial has a lot of history.]",1998,291467,240,606,14143
"(Studio: Bernard Shaw) .(Atlanta: Pat Etheridge) Death of pediatrician Dr. Benjamin Spock, who taught America how to rear its children for the last half-century, featured. [American Academy of Pediatrics president Dr. Joseph ZANGA - cites Spock's message to parents.] [Two WOMEN, """"Parenting Magazine"""" Janet CHAN - comment of Dr. Spock's advice.]",1998,294091,83320,347,14143
"(Studio: Dan Rather) .(White House: Scott Pelley) Attempt to appeal the refusal to allow the """"executive privilege"""" reported. [President CLINTON - says his case and Watergate are totally different situations.] [Independent counsel Kenneth STARR - praises Judge Norma Holloway Johnson's decision.](Studio: Dan Rather) Announcement concerning problems with Representative Dan Burton's release of Webster Hubbell's taped telephone calls reported; Burton's top aide fired. House Speaker Newt Gingrich's speaking out against White House policies reported.(Washington: Bob Schieffer) Conflict within ranks of Republican congressmen reported.",1998,298928,230,636,14143
(Studio: Joie Chen) .(Paris: Peter Humi) The possibility of the abandonment of the Tour de France cycling race over a drug scandal examined; scenes shown from the race course; details given of police investigations of the Casino and the Spanish Once teams and of the competitors who refused to race on Wednesday.,1998,300023,170,312,14143
(Studio: Dan Rather) .(Pentagon: David Martin) Preparation of the United States to perform air strikes against Iraq with the buildup of personnel and equipment in the Persian Gulf noted; scenes shown from Iraqi television. [Secretary of State Madeleine ALBRIGHT - says Iraq has a choice.] [Defense Secretary William COHEN - says the forces continue to be built.] [White House Press Secretary Joe LOCKHART - says Iraqi President Saddam Hussein is saying nothing new.](Studio: Dan Rather) .(Baghdad: Allen Pizzey) Meeting between Saddam and the Russian ambassador reported; claims that Saddam would cooperate with United Nations inspectors if it will mean the end of sanctions reported; preparations for air strikes in Iraq noted. [DOCTOR - talks about emergency preparations.] [UN humanitarian relief coordinator Hans VON SPONECK - says his team's work has nothing to do with politics.] [IRAQI - asks why America attacks Iraq.](Studio: Dan Rather) Interview held with retired United States Air Force Lieutenant General Buster Glosson. [GLOSSON - describes what weapons may be used in an attack; describes which targets would be hit first.],1998,304343,300,1138,14143
"(Studio: Peter Jennings) .(Dallas: Peggy Wehmeyer) The controversial statement from the Southern Baptists on the family examined; scenes shown from the conference in Salt Lake City, UT; amendment quoted: """"a wife is to submit herself graciously to the servant leadership of her husband."""" [Southern Baptist Convention Paige PATTERSON - cites the responsibilities for the man and woman.] [WOMAN - explains.] The criticism within the Baptists noted. [Baptists Center for Ethics Robert PARHAM - questions the interpretation.]",1998,298276,150,522,14143
"(Studio: Peter Jennings) .(Los Angeles: Jane Clayson) The latest trend in teenage athletic shoes featured; scenes shown of sneakers known as """"soaps"""" with an arch plate allowing kids to slide like they do on skateboards. [""""Grinder"""" Eddie RAMIREZ, Play-It-Again Sports Steve LEVI, Soap Company co-founder Jerry GROSS - comment on the shoes.]",1998,305246,110,343,14143
